series,model,feature,importance
PCA_NIC,ET,value_q25_3,0.0002036164670732263
PCA_NIC,ET,value_q75_3,0.0045245705114577576
PCA_NIC,ET,value_vs_mean_3,0.04409166259904798
PCA_NIC,ET,value_vs_min_6,0.03470211233711305
PCA_NIC,ET,value_vs_mean_6,0.06597336506020143
PCA_NIC,ET,value_vs_min_12,0.12171195939430081
PCA_NIC,ET,value_vs_mean_12,0.09462611845540218
PCA_NIC,ET,trend_slope_6,0.08803357620265884
PCA_NIC,ET,momentum_3,0.011570009523298848
PCA_NIC,ET,momentum_6,0.0477648629488875
PCA_NIC,ET,quarter_cat,8.698870287074637e-05
